Package Name                          Version                              Info
node-cli-boxes                        1.0.0-1                              Boxes for use in the terminal                                        
node-cliui                            4.1.0-1                              easily create complex multi-column CLIs                              
node-clone                            2.1.2-1                              deep cloning of objects and arrays                                   
node-co                               4.6.0-1                              generator async control flow goodness                                
node-color-convert                    1.9.0-3                              Plain color conversion functions                                     
node-color-name                       1.1.3-1                              list of color names and its values                                   
node-combined-stream                  1.0.7-1                              Append streams one after another - module for Node.js                
node-concat-map                       0.0.1-1                              concatenative mapdashery for Node.js                                 
node-concat-stream                    1.6.2-1                              writable stream that concatenates strings                            
node-config-chain                     1.1.11-1                             Handle Configuration Once And For All                                
node-console-control-strings          1.1.0-1                              cross-platform tested terminal/console command strings               
node-copy-concurrently                1.0.5-4                              Copy files, directories and symlinks concurrently                    
node-core-util-is                     1.0.2-1                              util.is* functions introduced in Node v0.12 for older versions       
node-cross-spawn                      5.1.0-2                              Cross platform drop-in replacement for spawn                         
node-cyclist                          1.0.1-2                              efficient cyclic list implementation for Javascript                  
node-dashdash                         1.14.1-2                             light, featureful and explicit option parsing library                
node-decamelize                       1.2.0-1                              convert a camelized string into a lowercased one with a custom separa
node-decompress-response              3.3.0-1                              Decompress a HTTP response if needed                                 
node-deep-extend                      0.4.1-2                              Recursive object extending                                           
node-defaults                         1.0.3-1                              merge single level defaults over a config object                     
node-delayed-stream                   0.0.5-1                              Buffer stream events for later handling - module for Node.js         
node-delegates                        1.0.0-1                              delegate methods and accessors to another property                   
node-detect-indent                    5.0.0-1                              Detect the indentation of code                                       
node-detect-newline                   2.1.0-1                              Detect the dominant newline character of a string                    
node-duplexer3                        0.1.4-4                              Like duplexer but using streams3                                     
node-duplexify                        3.6.1-1                              Turn a writable and readable stream into a streams2 duplex stream    
node-ecc-jsbn                         0.1.1-1                              ECC JS code based on JSBN                                            
node-editor                           1.0.0-1                              Launch $EDITOR in your program                                       
node-encoding                         0.1.12-2                             Convert encodings, uses iconv by default and fallbacks to iconv-lite 
node-end-of-stream                    1.4.1-1                              Invoke a callback when a stream has completed or failed              
node-errno                            0.1.4-1                              libuv errno details exposed - Node.js module                         
node-escape-string-regexp             1.0.5-1                              Escape RegExp special characters in Node.js                          
node-execa                            0.10.0+dfsg-1                        better `child_process`                                               
node-extend                           3.0.2-1                              port of jQuery.extend for Node.js                                    
node-extsprintf                       1.3.0-1                              extended POSIX-style sprintf                                         
node-find-up                          2.1.0-1                              find a file by walking up parent directories                         
